pATo,3460.33,4192.7,3
H5iu,1266.35,4620.57,3
c01f,2.45,12524.78,22
eAow,729.43,3329.79,1
1rUr,765.2,4974.76,9
Xp9M,1479.74,12527.16,2
1z2v,1341.0,12529.54,3
B8Lr,490.54,12539.05,9
1QeH,21.2,12546.19,14
uvnp,69.06,12548.57,11
VQrZ,2.49,12558.09,8
lbhI,17.67,12560.47,4
7XqF,58.42,12565.23,10
SSjL,241.34,3436.76,3
WKM7,309.64,5386.0,14
TE3v,1601.06,5571.42,7
22QR,2251.82,6225.13,2
Ibkv,1660.12,6194.22,5
cU7h,1871.43,8849.48,7
YTkk,1518.1,6227.51,20
hzsy,314.29,10164.06,0
w6pp,627.2,6239.4,13
AHnC,1107.1,12082.41,16
y9sP,162.09,6693.43,16
nZIW,2455.26,12122.84,10
7LYk,704.05,6750.48,3
Z4Fp,1306.78,12137.1,14
Bz3J,142.14,7879.61,1
2uKY,531.45,12179.9,9
NSgX,62.6,8240.94,7
YvAG,142.09,12227.45,13
f43k,509.5,8402.58,14
yjdx,2617.4,12229.83,9
TXqz,186.3,8794.8,13
fv0w,1770.3,12263.13,19
SCQ7,2441.59,12037.23,2
Gj56,1445.81,12265.51,13
7ZAK,1495.41,12044.37,5
rhFu,609.53,12284.55,4
zjRu,1192.21,12072.9,25
h0zb,513.1,12334.48,9
HxxJ,548.92,12084.79,29
D7hh,1.98,12358.26,22
kmRT,929.22,12087.17,23
hoWv,63.19,12384.43,4
Yp8q,32.99,12187.03,10
Vtvu,587.7,12405.83,13
Pfuw,982.43,12201.3,8
SmHv,492.93,12408.21,9
fLse,548.96,12222.69,19
tylP,1498.19,12415.35,5
AZqa,100.76,12239.35,15
3WAj,974.68,12420.11,16
4U8T,570.09,12241.73,4
GNnA,729.49,12439.14,4
M2hR,969.84,12260.75,16
K675,1135.48,12467.69,1
GXTd,616.2,12267.89,16
q0J5,148.68,12474.82,4
m6qn,674.91,12272.65,19
bpBB,2021.85,12512.89,24
PSLB,11.72,12275.03,12
WUkI,12.47,12550.95,20
GujO,485.54,12279.79,8
bZsT,32.59,12555.7,10
0LVD,15.33,12282.17,3
bH4N,34.1,12562.85,9
Gz0h,576.43,12291.69,10
MSq9,70.84,12572.36,1
5BX4,663.15,12322.59,12
MU7t,2724.88,12329.73,7
myGc,311.19,12579.5,3
5Uww,556.66,12355.88,11
LTJ7,3.68,12600.92,3
qn7B,1.21,12365.4,24
5RRL,7.76,12603.29,1
iQha,1293.54,12367.77,34
s7Te,1759.11,12634.22,8
NU2i,156.66,12370.15,28
t94I,449.88,12646.12,23
dkve,915.61,12372.53,15
nYOr,1044.6,12669.91,0
n91D,645.56,12382.05,4
aHeG,2962.47,12677.05,5
kozJ,499.69,12403.45,11
u3xf,2.97,12689.74,13
VXjg,108.1,12410.59,15
KeyA,121.66,12692.12,13
MJRi,2.39,12422.49,11
LfJm,1071.94,12702.11,18
VIr5,30.49,12427.25,5
NaL1,2297.76,12709.72,5
v0Nd,1277.03,12434.39,4
fshF,227.51,12709.73,3
de42,1397.85,12448.66,4
vAQf,2.38,12752.57,2
xt7c,5.57,12453.41,3
X3JL,919.74,12762.08,5
XkIG,3.64,12455.79,2
zrSA,19.29,12764.94,0
uewx,1.59,12465.31,4
kPih,146.07,12796.82,28
ihJ2,4.66,12477.2,0
Lg6x,531.78,12799.2,17
NEiW,11.32,12486.71,8
b9eg,157.76,12801.58,11
A7KE,489.63,12489.09,6
M1kl,153.32,12806.82,16
y3eP,166.05,12491.47,11
VAYC,813.37,12809.2,10
W9HP,7.47,12498.61,17
MuZZ,2.43,12812.06,15
JThE,42.59,12500.99,18
jZwe,514.52,12819.68,6
afdT,1556.86,12503.37,11
T8io,2.57,12819.68,3
kNji,1330.93,12508.13,33
inEo,2429.33,12830.15,14
pDyx,62.05,12510.51,28
nV0o,1.98,12833.0,22
Hrvm,314.59,12515.27,17
4LCO,68.62,12577.12,4
sMtx,157.18,12567.61,3
qPLA,1.91,12574.75,4
scII,173.6,12581.89,2
BOEE,2.1,12591.4,1
jL19,2.59,12593.78,4
MB45,18.03,12596.16,5
F8V3,613.57,12598.54,2
WYPa,142.65,12608.05,10
w2te,40.89,12610.43,0
uBim,231.81,12615.19,5
mz1v,3877.82,12617.57,6
38lG,292.7,12619.95,10
ajGH,473.68,12627.08,1
II79,97.0,12629.46,3
ka2n,10.36,12631.84,7
Kkqz,882.17,12636.6,8
aIhe,1594.1,12641.36,17
TLrC,236.53,12643.74,17
h2PH,111.71,12650.87,24
oZYq,1525.74,12653.26,41
HSoO,2530.36,12658.02,5
YvnJ,51.03,12662.78,31
dBOL,3.16,12665.16,14
RVUc,202.82,12667.53,5
xQjU,537.53,12672.29,1
Lc5d,352.45,12674.67,3
PZV0,2.35,12682.29,11
JvHS,2333.38,12682.29,9
Y5iF,145.82,12696.88,8
heHR,406.81,12699.26,8
ZO72,588.2,12702.11,15
wWoF,13.83,12704.49,5
XfXo,826.04,12706.87,18
ED5k,548.91,12712.11,3
zVHC,455.91,12714.49,2
HvRk,187.06,12716.87,3
zm86,1558.8,12719.25,6
MAgf,479.93,12722.1,2
nzxC,607.29,12722.11,5
qovr,2.64,12724.96,1
urHq,632.64,12725.44,0
mrf7,1235.04,12424.88,5
R6Pn,21.67,12727.82,0
yoPp,2.24,12730.2,2
MX7P,665.57,12735.43,2
vXRv,14.54,12814.45,2
gzwf,14.72,12816.83,3
dUEz,1435.04,12812.07,7
maJ7,1524.41,12824.91,14
Yv12,1553.73,12812.06,11
TiW0,2.04,12824.91,6
KH6n,425.26,12804.45,15
DweZ,5.13,12827.29,7
MsAQ,1162.86,12804.44,18
CXMT,480.85,12830.15,11
hI1B,1230.45,12804.44,16
UI15,2.74,12794.45,17
S12U,3530.36,12792.07,23
wO4e,143.96,12789.69,17
sIbd,2802.97,12787.31,27
dmiQ,1.43,12784.93,15
DVzW,3.58,12782.55,9
nW0c,6.68,12777.79,6
1qa1,733.44,12777.79,7
WSrA,2244.51,12774.94,6
zsOL,3.77,12772.56,14
SWph,1.33,12770.18,6
zspU,477.77,12770.18,7
jPlT,1672.28,12764.94,7
2nZf,499.15,12764.94,2
0Egd,1.26,12759.71,8
l627,8.02,12757.33,6
5jGE,604.43,12750.19,8
z2Uz,2.73,12747.81,7
ATsC,62.41,12745.43,2
I0fF,44.56,12743.05,0
qdQ0,482.41,12740.67,6
qzsh,327.59,12738.29,5
KJ5w,2654.53,12738.29,4
CJp5,2066.83,12725.44,6
IX3l,1216.64,12655.64,22
CiIu,2.49,12735.44,2
5y6V,1.47,12225.08,15
GDiT,2829.74,12732.58,2
pGXk,15.06,12694.5,15

